,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
18/i,1.51,2.59,2.95,2.23,1.71,1.31,0.72,0.60,0.72,0.32,1.87,0.28,0.72,1.79,1.12,0.84,0.24,1.31,1.43,0.44,0.76,1.08,0.40,0.56,1.27,0.36,1.04,0.60,0.24,0.44,0.52,0.92,0.32,0.56,0.12,0.16,0.28,0.36,0.32,0.36,0.00,0.80,1.15,0.20,0.32,0.96,0.92,0.16,0.60,1.00,0.40,0.28,0.28,0.76,0.60,0.76,0.20,0.44,0.28,0.60,0.40,0.24,0.08,1.31,0.20,0.84,0.32,0.20,0.24,0.92,0.48,0.40,0.32,0.60,0.36,0.08,0.12,0.20,0.32,0.52,0.52,0.20,0.16,0.56,0.16,0.04,0.76,0.32,0.04,0.00,0.72,0.28,0.92,0.08,1.63,0.88,0.64,0.08,0.32,1.63,0.12,0.36,0.20,0.04,1.12,0.52,0.20,0.12,0.36,0.68,0.04,0.68,0.12,0.08,0.24,0.32,0.12,0.00,0.72,0.00,0.00,0.08,0.16,0.36,0.24,0.72,0.12,0.72,0.00,0.36,0.32,0.44,0.60,0.04,0.32,0.28,0.08,0.36,0.92,0.20,0.08,0.20,0.12,0.36,0.32,1.91,0.24,0.48,0.20,0.24,0.12,0.52,0.56,0.16,1.08,0.96,0.40,0.12,0.28,0.36,0.16,0.16,0.52,0.24,0.24,0.16,0.08,0.80,1.27,0.24,0.12,0.00,0.08,0.48,0.28,0.08,0.00,0.60,0.20,0.40,0.68,0.76,0.28,0.32,0.20,0.40,0.28,0.44,0.08,0.32,0.08,0.76,0.28,0.08,0.00,0.04,0.28,0.56,0.20,0.04,0.40,0.00,0.72,0.56,0.04,0.08,0.24,0.00,0.72,0.00,0.00,0.08,0.00,0.00,0.00,0.00
18/ii,1.07,1.15,1.78,1.51,1.66,0.44,1.05,0.59,0.40,0.23,0.54,0.13,0.54,1.13,0.73,1.28,0.38,0.80,0.63,0.36,0.34,0.63,0.38,0.73,0.34,0.52,0.54,0.15,0.65,0.13,0.27,0.38,0.13,0.23,0.04,0.48,0.34,0.02,0.13,0.15,0.00,0.82,0.29,0.78,0.38,1.17,0.48,0.61,0.27,0.75,0.82,0.36,2.14,0.04,0.25,0.19,0.19,0.04,0.27,0.29,0.78,0.71,0.17,0.08,0.31,0.38,0.08,0.31,0.44,0.21,0.23,0.34,0.21,0.10,0.10,0.04,0.21,0.10,0.08,0.80,0.65,0.82,0.46,0.13,0.27,0.19,0.23,0.44,0.71,0.52,1.03,0.38,0.23,1.13,0.04,0.27,0.50,0.29,0.92,0.13,0.19,0.50,0.02,0.15,0.44,0.44,0.15,0.04,0.29,0.36,0.00,0.25,0.06,0.04,0.17,0.17,0.04,0.42,0.38,0.02,0.61,0.02,0.36,0.04,0.00,0.06,0.50,0.25,0.00,0.88,1.40,0.92,1.01,0.17,0.48,1.34,0.08,0.31,0.06,0.31,0.42,0.44,0.19,0.90,0.27,0.15,0.50,0.15,0.13,0.40,0.15,1.13,0.15,0.00,0.54,0.08,0.27,0.21,0.00,0.69,0.69,0.34,0.04,0.42,0.04,0.61,1.07,0.98,0.50,0.71,1.19,0.04,0.59,0.73,0.78,0.50,0.00,0.80,0.48,0.19,0.92,1.17,1.09,0.29,0.25,0.65,0.38,0.02,0.08,0.36,0.57,0.04,0.04,0.21,0.00,0.36,0.65,0.69,1.15,0.00,1.55,0.34,2.07,0.36,0.04,0.80,0.48,0.06,1.45,0.10,0.23,0.65,2.05,1.13,1.11,0.08
18/iii,1.39,0.88,4.69,1.04,1.09,0.55,0.61,0.33,0.02,0.33,0.82,0.57,0.25,1.62,0.49,0.61,0.00,1.86,0.53,0.10,0.31,1.19,0.14,0.74,1.07,0.61,0.10,0.16,0.00,0.18,0.25,0.49,0.06,0.49,0.35,0.04,0.31,0.04,0.20,0.12,0.02,2.11,0.35,0.18,0.14,1.09,0.27,0.29,0.86,1.52,0.18,0.00,0.04,0.02,0.16,0.94,0.20,0.06,0.08,0.66,0.06,0.12,0.10,0.16,0.18,0.64,0.23,0.10,0.59,0.23,0.12,0.33,0.27,0.33,0.27,0.06,0.27,0.06,0.04,0.90,0.59,0.76,1.33,0.25,0.10,0.16,0.02,0.04,0.10,0.00,1.11,0.12,0.25,0.10,0.04,0.12,0.23,0.12,0.02,0.08,0.55,0.18,0.00,0.00,0.10,0.61,0.00,0.16,0.33,0.70,0.20,0.27,0.04,0.31,0.18,0.39,0.06,0.08,0.92,0.25,0.02,0.14,0.27,0.31,0.16,0.18,0.39,0.33,0.04,1.91,0.23,1.64,0.02,0.31,0.29,2.13,0.06,0.14,0.12,0.53,0.20,0.23,0.06,0.00,0.20,0.25,0.10,0.25,0.51,0.90,0.00,0.02,0.64,0.08,0.04,0.72,0.47,0.04,0.29,0.04,0.25,0.18,0.47,0.33,0.10,0.27,0.31,0.14,0.86,1.66,0.27,1.27,1.88,0.29,0.12,0.39,0.12,0.51,0.04,0.14,0.39,0.49,0.33,0.23,0.00,0.14,0.90,0.51,0.25,0.51,0.53,0.08,0.20,0.14,0.00,0.18,0.35,0.72,3.20,0.66,1.25,1.80,0.82,0.53,0.06,0.33,0.25,0.08,2.36,1.31,0.57,1.33,0.88,0.27,2.75,1.93
19/i,1.21,2.76,1.96,2.17,1.47,0.57,1.00,1.43,0.41,0.72,1.11,0.22,0.90,0.65,0.67,0.89,0.26,0.34,0.99,0.57,1.15,0.54,0.80,0.32,1.03,0.39,0.63,0.33,0.23,0.55,0.91,0.55,0.31,0.30,0.34,0.15,0.49,0.03,0.41,0.11,0.07,0.48,1.07,0.45,0.85,0.99,0.38,0.42,0.46,0.76,0.42,0.57,0.45,0.01,0.70,0.53,0.65,0.11,0.66,0.19,0.99,0.13,0.37,0.68,0.51,0.61,0.30,0.31,0.12,0.23,0.23,0.46,0.32,0.29,0.36,0.35,0.03,0.02,0.46,0.47,0.48,0.35,1.35,0.94,0.58,0.77,1.36,0.09,0.21,0.18,0.31,0.36,0.24,0.11,0.52,0.13,0.25,0.20,0.12,0.25,1.23,0.38,0.07,0.02,0.84,0.23,0.53,0.48,0.30,0.40,0.14,0.20,0.03,0.19,0.55,0.19,0.07,0.21,0.65,0.15,0.22,0.24,0.69,0.17,0.11,0.22,0.04,0.03,0.02,0.30,0.52,0.86,1.34,0.99,0.46,1.00,0.03,0.53,0.69,0.40,0.78,0.09,0.24,0.54,0.52,0.54,0.30,0.34,0.33,0.62,0.02,0.08,0.42,0.24,0.25,0.50,0.89,0.00,0.23,0.29,0.20,0.48,0.07,0.06,0.21,0.21,0.35,0.49,0.76,0.21,0.61,0.92,0.21,0.74,0.34,0.57,0.48,0.15,0.65,0.54,0.53,0.14,0.82,0.00,0.18,0.28,0.26,0.10,0.26,0.53,0.05,0.00,0.39,0.16,0.01,0.05,0.85,0.36,0.25,0.78,1.81,0.01,0.84,0.46,0.09,0.02,0.39,0.00,0.62,0.79,0.13,0.11,0.44,0.04,0.85,0.05
19/ii,1.44,1.99,3.69,2.00,1.77,0.63,1.49,2.22,0.33,0.58,1.46,0.15,0.46,0.89,1.97,0.95,0.27,0.36,0.63,0.33,0.54,0.72,0.74,0.97,0.81,1.42,0.57,0.40,0.07,0.15,0.80,0.55,0.89,0.50,0.41,0.11,0.35,0.02,1.08,0.11,0.03,0.06,1.02,0.67,0.27,0.81,0.43,0.50,0.36,1.51,0.65,0.55,0.78,0.64,0.29,0.66,0.48,0.49,0.39,0.17,0.12,0.06,0.37,1.45,0.86,0.39,0.66,0.50,0.25,0.09,0.54,0.05,0.14,0.15,0.22,0.02,0.06,0.06,0.27,0.19,0.10,0.52,0.20,2.05,0.18,0.14,0.31,0.17,0.20,0.65,0.20,0.22,0.55,1.03,0.45,0.20,0.24,0.41,0.32,0.41,0.63,0.81,0.22,0.07,0.53,1.19,0.06,0.19,0.41,0.50,0.05,0.73,0.07,0.42,0.24,0.33,0.10,0.07,0.70,0.06,0.00,0.02,0.21,0.13,0.13,0.00,0.04,0.00,0.00,0.13,0.42,0.18,1.05,0.15,0.32,0.45,0.15,0.85,0.11,0.41,0.42,0.11,0.05,0.39,0.37,0.85,0.50,0.13,0.24,0.22,0.11,0.72,0.38,0.24,0.63,0.24,0.77,0.28,0.09,0.09,0.27,0.03,0.16,0.26,0.05,0.07,0.41,0.24,0.32,1.05,0.68,0.40,0.13,0.28,0.41,0.33,0.00,0.12,0.38,0.20,0.22,0.12,0.08,0.01,0.44,0.48,0.87,0.03,0.19,0.10,0.15,0.15,0.46,0.07,0.00,0.33,0.09,1.99,2.07,0.00,0.66,0.73,0.94,0.24,0.04,0.02,0.04,0.13,0.89,0.31,0.33,0.95,0.72,0.23,0.37,0.22
20/ii,2.39,1.29,2.39,1.91,1.97,0.24,0.39,0.68,0.11,0.29,0.38,0.04,1.82,1.09,0.80,1.11,0.30,0.68,0.34,0.26,0.27,1.84,0.71,0.41,0.28,0.43,0.54,0.14,0.86,0.16,0.55,0.19,0.08,0.03,0.07,0.04,0.17,0.07,0.21,0.04,0.04,2.07,0.76,0.60,0.70,1.36,0.30,0.11,0.25,1.73,0.15,0.25,1.53,0.23,0.41,0.36,0.14,0.07,0.19,0.08,0.92,0.12,0.15,0.13,0.52,0.42,0.09,0.14,0.04,0.20,0.18,0.06,0.07,0.42,0.11,0.07,0.03,0.00,0.04,2.73,0.75,0.48,0.28,1.39,0.17,0.17,2.35,0.36,0.14,0.41,0.41,0.14,0.49,0.26,0.10,0.08,0.34,0.09,0.55,0.41,0.14,0.25,0.00,0.09,0.33,0.23,0.49,0.07,0.14,0.34,0.12,0.04,0.03,0.07,0.09,0.25,0.10,0.09,0.20,0.09,0.08,0.14,0.15,0.29,0.02,0.13,0.03,0.00,0.01,1.09,1.02,0.72,1.17,0.17,0.27,0.97,0.14,1.14,0.33,0.59,0.22,0.09,0.59,1.27,0.64,0.30,0.11,0.59,0.06,0.23,0.05,0.02,0.12,0.05,0.29,0.38,0.24,0.28,0.12,0.26,0.12,0.04,0.08,0.02,0.39,0.14,0.07,1.28,0.69,0.74,1.18,0.45,0.49,1.04,0.46,0.43,0.06,0.92,0.34,0.48,0.75,0.07,0.17,0.03,0.71,0.22,0.64,0.06,0.31,0.15,0.11,0.04,0.66,0.22,0.07,0.21,0.96,1.28,1.42,0.19,1.19,0.31,1.76,0.36,0.47,0.16,0.63,0.03,1.75,0.60,0.65,0.52,0.44,0.36,2.30,0.56
20/i,4.09,2.05,3.70,2.88,2.25,0.04,0.42,0.40,0.02,0.27,1.36,0.04,2.96,1.59,1.00,1.19,0.42,1.25,0.33,0.36,0.27,5.07,0.83,0.25,0.71,0.44,0.02,2.46,0.44,0.06,0.52,0.19,0.00,0.02,0.00,0.02,0.17,0.02,1.30,0.02,0.00,3.45,0.98,1.15,0.50,1.44,0.31,0.13,0.17,1.27,0.21,0.19,0.35,0.04,0.94,0.21,0.00,0.12,0.02,0.44,0.02,0.02,0.02,0.06,0.23,8.71,0.00,0.00,0.02,0.10,0.35,0.02,0.02,0.12,0.06,0.00,0.00,0.00,0.19,1.34,1.36,0.86,0.06,1.48,0.15,0.15,0.12,0.21,0.02,0.04,0.21,0.77,0.86,0.02,0.06,0.25,0.00,0.00,0.12,0.19,0.21,0.02,0.00,0.00,0.46,0.71,0.12,0.10,0.00,0.04,0.00,0.04,0.06,0.00,0.00,0.90,0.00,0.00,0.25,5.43,0.00,0.13,0.50,0.06,0.00,0.04,0.00,0.00,0.00,2.55,1.13,0.40,0.48,0.33,0.04,0.25,0.17,0.54,0.17,0.59,0.04,0.00,0.12,0.13,0.13,0.29,0.25,0.44,0.04,2.23,0.00,0.00,0.00,0.00,0.06,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.50,0.00,0.77,0.96,0.12,0.27,0.12,0.00,0.81,0.08,0.00,0.00,0.25,0.02,0.08,0.23,0.00,0.02,0.00,0.00,1.71,0.00,0.00,0.67,0.00,0.00,0.00,1.82,0.12,0.00,0.00,0.42,0.71,0.21,0.12,0.10,0.00,0.35,0.00,0.00,0.00,0.08,0.00,0.15,0.00,0.00,0.10,0.06,0.02,0.00,0.00
21/ii,1.77,3.59,4.10,1.45,3.54,0.21,0.74,0.08,0.55,0.40,0.98,0.11,3.04,1.03,0.26,0.34,0.11,1.06,0.16,0.05,0.74,1.11,0.00,0.87,0.45,0.48,0.34,0.71,11.89,0.85,0.40,0.08,0.00,0.55,0.00,0.00,0.08,0.00,2.93,0.00,0.11,1.74,3.62,0.32,0.16,0.63,0.03,0.05,0.05,0.34,0.03,0.21,0.21,0.00,0.05,1.00,0.05,0.00,0.00,0.05,1.19,0.00,0.21,0.50,0.32,0.53,0.03,0.00,0.05,0.00,0.40,0.05,0.00,0.00,0.03,0.00,0.26,0.00,0.11,6.71,0.34,0.90,0.05,0.11,0.42,0.00,0.18,0.00,0.50,0.05,0.00,0.05,0.00,0.08,0.00,0.16,0.00,0.00,0.21,0.00,0.11,0.00,0.03,0.00,0.00,0.03,0.82,0.00,0.16,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.24,0.37,0.37,0.21,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,2.75,0.00,0.77,0.00,0.24,0.03,0.00,0.40,0.00,0.40,0.00,0.00,0.24,0.21,0.00,0.00,0.03,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.03,0.00,0.00,0.11,0.00,2.30,0.00,0.53,0.00,0.00,0.21,0.00,0.13,0.00,0.00,0.11,0.00,0.03,0.24,0.00,0.00,0.00,0.26,0.66,0.03,0.00,0.21,0.03,0.00,0.00,0.48,0.18,0.21,1.32,0.00,2.14,0.71,0.00,0.71,0.05,0.45,0.03,0.32,0.00,0.32,0.00,5.34,0.08,0.71,0.03,0.40,0.16,1.74,3.46
21/i,14.05,14.88,7.02,1.00,7.86,1.34,1.67,0.00,0.00,0.00,1.67,0.00,7.36,2.01,2.01,0.00,0.00,1.00,2.68,1.34,1.34,2.68,1.67,1.00,0.00,0.67,0.00,0.00,1.34,1.34,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.67,1.34,0.00,0.00,2.34,1.00,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.67,0.00,0.67,1.34,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.00,0.00,1.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22/ii,2.26,3.32,4.20,2.54,1.70,0.69,1.06,0.93,0.13,0.64,0.62,0.11,1.95,1.75,1.28,1.61,0.15,0.80,0.60,0.55,0.71,1.48,1.04,1.06,0.62,0.31,0.07,0.46,0.29,0.51,1.15,0.73,0.29,0.27,0.04,0.07,0.24,0.00,0.51,0.13,0.00,1.19,0.97,1.24,0.73,0.75,0.46,0.09,0.46,0.69,0.07,0.53,0.22,0.11,1.08,0.58,0.18,0.07,0.20,0.20,1.13,0.07,0.29,0.18,1.00,0.71,0.11,0.44,0.15,0.38,1.39,0.15,0.22,0.62,0.20,0.04,0.20,0.04,0.24,0.58,1.37,0.97,0.46,0.46,0.29,0.22,1.15,0.46,0.24,0.15,0.33,0.29,0.33,0.13,0.33,0.18,0.04,0.04,0.07,0.58,0.55,0.09,0.04,0.07,0.60,0.33,0.38,0.07,0.31,0.49,0.18,0.04,0.11,0.07,0.13,0.27,0.11,0.11,0.46,0.00,0.51,0.49,0.42,0.15,0.07,0.51,0.09,0.00,0.00,0.24,0.66,0.40,0.84,0.35,0.62,0.82,0.15,0.40,0.22,0.22,0.00,0.29,1.06,0.93,0.80,0.71,0.04,0.18,0.13,0.38,0.02,0.38,0.11,0.11,0.02,0.77,0.20,0.35,0.42,0.29,0.20,0.18,0.09,0.00,0.27,0.24,0.09,0.02,0.24,0.60,0.49,0.38,0.15,0.49,0.53,0.24,0.29,0.11,0.02,0.29,0.62,0.15,0.11,0.00,0.09,0.55,0.73,0.04,0.00,0.53,0.07,0.07,0.31,0.00,0.04,0.22,0.42,0.35,0.60,0.18,0.64,0.11,0.66,1.22,0.18,0.00,0.44,0.09,0.88,0.44,0.73,0.49,0.38,0.13,1.44,0.46
22/i,4.08,3.22,6.99,2.10,5.88,0.00,1.30,1.11,0.37,0.50,1.61,0.37,1.36,1.86,2.91,2.29,1.49,2.54,0.12,0.87,0.62,1.86,0.56,1.61,0.99,0.99,0.12,0.00,0.00,0.31,0.74,0.37,0.00,0.00,0.00,0.00,0.37,0.00,1.73,0.00,0.00,0.80,0.74,2.17,1.79,2.04,0.31,0.50,0.37,2.72,0.12,0.12,0.25,0.00,0.37,1.73,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.50,0.25,0.62,0.80,0.37,1.24,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.12,0.25,1.92,2.04,0.00,0.50,0.06,0.37,2.23,0.56,0.12,0.00,0.43,0.37,0.56,0.00,0.12,0.00,0.25,0.68,0.62,0.37,1.11,0.00,0.25,0.00,0.25,0.62,0.12,0.00,0.00,0.99,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.62,0.00,0.37,0.25,0.37,0.56,0.25,0.37,0.00,0.12,0.00,0.19,0.37,0.50,0.37,0.37,0.25,0.25,0.00,0.37,0.00,0.00,0.00,0.00,0.37,0.37,0.12,0.12,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.19,0.12,0.00,0.50,0.00,0.12,0.00,0.00,0.00,0.25,0.25,0.00,0.12,0.00,0.25,0.25,0.37,0.00,0.62,0.00,0.00,0.00,0.37,0.25,0.00,0.00,0.12,0.00,0.12,0.00,0.37,0.00,0.37,0.25,0.12,0.00,0.37,0.12,0.12,0.00,0.12,0.00,0.25,0.12,0.37,0.12
23/iii,1.59,2.43,3.36,2.52,1.42,0.89,0.80,1.59,0.44,0.75,1.02,0.58,0.97,2.35,0.97,1.02,0.35,0.44,1.42,0.40,0.66,1.37,0.44,0.62,1.28,0.35,0.44,0.22,0.27,0.09,0.84,0.62,0.04,0.62,0.75,0.22,0.35,0.09,0.27,0.00,0.00,0.80,0.97,0.66,0.27,1.37,0.53,0.53,1.64,0.93,0.22,0.27,0.58,0.27,0.27,0.53,0.04,0.35,0.09,0.44,0.18,0.18,0.13,0.22,0.89,0.62,0.53,0.04,0.31,0.18,0.75,0.44,0.04,0.31,0.97,0.04,0.09,0.04,0.53,0.35,0.66,0.40,0.62,0.62,0.18,0.31,0.22,0.13,0.00,0.04,0.00,0.31,1.37,0.35,0.13,0.35,0.31,0.09,0.35,0.04,0.49,0.09,0.31,0.13,1.24,0.09,0.18,0.35,0.13,0.40,0.00,0.31,0.13,0.13,0.27,0.04,0.18,0.18,0.49,0.00,0.00,0.44,1.59,0.35,0.04,0.00,0.04,0.09,0.00,0.22,0.75,1.20,0.27,0.22,0.22,0.31,0.00,0.18,0.04,0.62,0.44,0.27,0.93,0.40,0.27,0.80,0.04,0.62,0.13,0.49,0.04,0.80,0.04,0.00,0.00,0.04,0.40,0.18,0.27,0.04,0.09,0.00,0.58,0.13,0.18,0.49,0.22,0.00,0.80,0.31,0.84,0.62,1.20,0.40,0.00,0.31,0.13,0.00,0.00,0.75,0.31,0.18,0.62,0.27,0.00,0.04,0.66,0.00,0.22,1.28,0.13,0.09,0.66,0.04,0.00,0.31,0.04,0.89,0.89,0.04,2.21,0.89,0.04,1.33,0.00,0.31,0.58,0.31,0.00,0.80,0.27,0.89,0.71,0.00,0.53,0.49
